first_name,last_name,gender
Dafina,Tahiri,F
Veton,Gashi,M
Elira,Tahiri,F
Vjollca,Mehmeti,F
Samir,Berisha,M
Burbuqe,Kryeziu,F
Mimoza,Osmani,F
Spartak,Salihu,M
Ermal,Ahmeti,M
Xhevahire,Ibrahimi,F
Flutura,Sinani,F
Valbona,Demiri,F
Edona,Berisha,F
Pranvera,Zeqiri,F
Besim,Rexhepi,M
Xhevdet,Maliqi,M
Lulzim,Syla,M
Flutura,Kastrati,F
Teuta,Sadiku,F
Perparim,Morina,M
Majlinda,Ademi,F
Adelina,Aliu,F
Edon,Ahmeti,M
Parin,Ahmeti,M
Shqipe,Selimi,F
Xhevahire,Ibrahimi,F
Arjeta,Bytyqi,F
Parin,Shala,M
Elira,Ademi,F
Petrit,Kryeziu,M
Jeta,Miftari,F
Hana,Shala,F
Agon,Mehmeti,M
Lavdim,Osmani,M
Flamur,Syla,M
Liridon,Dauti,M
Remzije,Krasniqi,F
Fjolla,Selimi,F
Kastriot,Rugova,M
Mergim,Likaj,M
Zana,Demiri,F
Perparim,Selimi,M
Haxhere,Shala,F
Perparim,Abazi,M
Arben,Aliu,M
Skender,Demiri,M
Valon,Hajdari,M
Ilir,Dauti,M
Urti,Selimi,F
Shqipe,Krasniqi,F
Luljeta,Hasani,F
Kushtrim,Nuhiu,M
Perparim,Shala,M
Endrit,Salihu,M
Veton,Ademi,M
Faton,Ferati,M
Petrit,Bajrami,M
Luljeta,Bajrami,F
Besim,Sinani,M
Perparim,Syla,M
Rrezart,Bytyqi,M
Ganimete,Syla,F
Veton,Ademi,M
Veton,Kastrati,M
Luljeta,Kryeziu,F
Besim,Hoxha,M
Spartak,Bytyqi,M
Mimoza,Salihu,F
Shaban,Isufi,M
Dafina,Hoxha,F
Gentian,Hasani,M
Tringa,Aliu,F
Artan,Thaqi,M
Lulzim,Salihu,M
Kujtesa,Bytyqi,F
Erim,Krasniqi,M
Parin,Osmani,M
Endrit,Thaqi,M
Drilon,Kastrati,M
Elira,Gashi,F
Shaban,Kastrati,M
Kastriot,Sinani,M
Blerta,Bajrami,F
Mimoza,Syla,F
Haxhere,Ibrahimi,F
Shkurte,Tahiri,F
Shkurte,Ahmeti,F
Besarta,Berisha,F
Luan,Shala,M
Xhevahire,Morina,F
Jehona,Ibrahimi,F
Fitore,Mehmeti,F
Skender,Demiri,M
Spartak,Selimi,M
Lulzim,Hyseni,M
Nerenxa,Demiri,F
Drilon,Syla,M
Shqipe,Ferati,F
Burbuqe,Tahiri,F
Bashkim,Hyseni,M
Drita,Isufi,F
Drita,Hajdari,F
Sokol,Isufi,M
Ymerije,Abazi,F
Dardan,Kastrati,M
Shkurte,Ibrahimi,F
Xhevahire,Abazi,F
Dardan,Salihu,M
Rexhep,Sadiku,M
Burbuqe,Isufi,F
Samir,Bajrami,M
Shkelzen,Nuhiu,M
Visar,Krasniqi,M
Shkurte,Zeqiri,F
Urti,Maliqi,F
Dafina,Kastrati,F
Arjeta,Salihu,F
Jeta,Sadiku,F
Luljeta,Ibrahimi,F
Pajtime,Syla,F
Besarta,Osmani,F
Gentiana,Tahiri,F
Petrit,Kastrati,M
Haxhere,Hoxha,F
Shkurte,Morina,F
Haxhere,Nuhiu,F
Faton,Hyseni,M
Gentian,Isufi,M
Skender,Bytyqi,M
Nderim,Hajdari,M
Ganimete,Ferati,F
Luljeta,Sinani,F
Agon,Syla,M
Donika,Isufi,F
Besarta,Salihu,F
Vlora,Kryeziu,F
Besnik,Ferati,M
Qamile,Salihu,F
Hana,Ferati,F
Ramiz,Sadiku,M
Qendrim,Thaqi,M
Nora,Osmani,F
Ganimete,Ahmeti,F
Tringa,Gashi,F
Shkurte,Nuhiu,F
Zef,Ahmeti,M
Artan,Thaqi,M
Agon,Thaqi,M
Isa,Tahiri,M
Veton,Ibrahimi,M
Shqipe,Ibrahimi,F
Valbona,Ahmeti,F
Fjolla,Sinani,F
Spartak,Ademi,M
Besnik,Kryeziu,M
Burbuqe,Sadiku,F
Qendrim,Bytyqi,M
Kujtim,Nuhiu,M
Besim,Hoxha,M
Dardan,Hoxha,M
Blerim,Limani,M
Arjeta,Morina,F
Edon,Tahiri,M
Drita,Limani,F
Ganimete,Hajdari,F
Visar,Osmani,M
Samir,Sadiku,M
Hana,Gashi,F
Valon,Hoxha,M
Zana,Isufi,F
Endrit,Kryeziu,M
Haxhere,Kryeziu,F
Dafina,Likaj,F
Besnik,Selimi,M
Yllka,Ahmeti,F
Jehona,Rugova,F
Kaltrina,Isufi,F
Elira,Limani,F
Fatmir,Ferati,M
Ramiz,Kastrati,M
Ramiz,Hyseni,M
Yll,Gashi,M
Mergim,Hoxha,M
Rrezart,Salihu,M
Sokol,Hyseni,M
Valbona,Ibrahimi,F
Rina,Kabashi,F
Besnik,Gashi,M
Fitore,Kryeziu,F
Mimoza,Osmani,F
Gentiana,Likaj,F
Drita,Abazi,F
Erzen,Gashi,M
Yll,Nuhiu,M
Kujtim,Salihu,M
Zylfije,Miftari,F
Gentian,Maliqi,M
Iliriana,Morina,F
Ganimete,Limani,F
Hana,Nuhiu,F
Blerim,Selimi,M
Xhevahire,Ferati,F
Veton,Limani,M
Iliriana,Dauti,F
Qendresa,Maliqi,F
Dardan,Aliu,M
Egzon,Aliu,M
Mimoza,Kastrati,F
Shaban,Limani,M
Kushtrim,Syla,M
Bujar,Kryeziu,M
Qamil,Limani,M
Xheneta,Rexhepi,F
Enver,Rugova,M
Zylfije,Zeqiri,F
Ilir,Ademi,M
Besarta,Ibrahimi,F
Ermal,Likaj,M
Zana,Selimi,F
Isa,Ahmeti,M
Flutura,Ademi,F
Ilir,Hyseni,M
Pranvera,Likaj,F
Qendrim,Shala,M
Blerina,Miftari,F
Arjeta,Kabashi,F
Qendresa,Rexhepi,F
Pranvera,Kastrati,F
Shkelzen,Ferati,M
Donika,Kabashi,F
Xhevdet,Rugova,M
Besnik,Krasniqi,M
Pajtime,Sadiku,F
Erim,Osmani,M
Elira,Isufi,F
Flamur,Morina,M
Egzon,Krasniqi,M
Iliriana,Bytyqi,F
Yll,Syla,M
Drilon,Krasniqi,M
Flutura,Ferati,F
Jehona,Selimi,F
Fatmire,Ibrahimi,F
Arben,Likaj,M
Erzen,Bajrami,M
Xhevdet,Likaj,M
Gezim,Sadiku,M
Urti,Rexhepi,F
Iliriana,Bajrami,F
Lavdim,Krasniqi,M
Xhevdet,Aliu,M
Jeta,Berisha,F
Nora,Hoxha,F
Skender,Miftari,M
Zylfije,Salihu,F
Kaltrina,Bytyqi,F
Erzen,Bajrami,M
Ermal,Kabashi,M
Mentor,Demiri,M
Qamile,Ferati,F
Lulzim,Gashi,M
Parin,Ademi,M
Shqipe,Demiri,F
Ilir,Krasniqi,M
Rrezart,Rexhepi,M
Urti,Sadiku,F
Xhevahire,Salihu,F
Veton,Abazi,M
Zana,Miftari,F
Bujar,Bytyqi,M
Bashkim,Osmani,M
Drilon,Miftari,M
Arben,Hajdari,M
Haxhere,Zeqiri,F
Blerta,Sinani,F
Arjeta,Syla,F
Gentian,Zeqiri,M
Mentor,Morina,M
Qendrim,Ahmeti,M
Zef,Limani,M
Blerina,Hajdari,F
Donika,Kabashi,F
Fitore,Isufi,F
Petrit,Sinani,M
Haxhere,Bytyqi,F
Yll,Ahmeti,M
Valon,Isufi,M
Haxhere,Ahmeti,F
Orhidea,Salihu,F
Dafina,Selimi,F
Veton,Maliqi,M
Oli,Mehmeti,F
Isa,Demiri,M
Shkelzen,Morina,M
Fitore,Bytyqi,F
Kastriot,Kabashi,M
Fjolla,Hasani,F
Ermal,Osmani,M
Ymerije,Bytyqi,F
Fatmire,Hyseni,F
Xhevahire,Kabashi,F
Luljeta,Ibrahimi,F
Spartak,Krasniqi,M
Burbuqe,Berisha,F
Dardan,Syla,M
Bujar,Ibrahimi,M
Shkurte,Isufi,F
Hana,Shala,F
Yllka,Zeqiri,F
Fisnik,Hasani,M
Pajtime,Morina,F
Dardan,Gashi,M
Petrit,Kastrati,M
Xheneta,Rexhepi,F
Burbuqe,Tahiri,F
Besarta,Ibrahimi,F
Urti,Tahiri,F
Skender,Rugova,M
Mimoza,Limani,F
Rexhep,Kabashi,M
Nerenxa,Thaqi,F
Besnik,Nuhiu,M
Vjollca,Kryeziu,F
Flutura,Kabashi,F
Bashkim,Hyseni,M
Lavdim,Hyseni,M
Kaltrina,Rugova,F
Kushtrim,Kryeziu,M
Jehona,Kryeziu,F
Donika,Ferati,F
Mentor,Rexhepi,M
Erzen,Hyseni,M
Valon,Morina,M
Agon,Ademi,M
Gentian,Aliu,M
Petrit,Rugova,M
Shkelzen,Miftari,M
Remzije,Maliqi,F
Jeta,Tahiri,F
Pajtime,Ibrahimi,F
Vjollca,Limani,F
Hana,Ibrahimi,F
Arjeta,Kastrati,F
Perparim,Miftari,M
Jehona,Shala,F
Astrit,Rexhepi,M
Besnik,Ibrahimi,M
Oli,Thaqi,F
Agon,Maliqi,M
Yll,Hajdari,M
Gezim,Mehmeti,M
Tringa,Hasani,F
Ilir,Thaqi,M
Astrit,Hasani,M
Teuta,Salihu,F
Zef,Rexhepi,M
Gentian,Nuhiu,M
Dafina,Limani,F
Vlora,Shala,F
Rrezart,Kryeziu,M
Donika,Maliqi,F
Erzen,Tahiri,M
Gentiana,Likaj,F
Zana,Thaqi,F
Fatmire,Zeqiri,F
Samir,Kryeziu,M
Arjeta,Thaqi,F
Adelina,Selimi,F
Rina,Osmani,F
Perparim,Salihu,M
Mentor,Kryeziu,M
Besnik,Tahiri,M
Kujtesa,Aliu,F
Luljeta,Miftari,F
Erim,Kastrati,M
Dardan,Ibrahimi,M
Besim,Dauti,M
Fatmir,Salihu,M
Leonora,Bytyqi,F
Gentiana,Berisha,F
Ramiz,Gashi,M
Yll,Hoxha,M
Qendresa,Bajrami,F
Naim,Ibrahimi,M
Flamur,Limani,M
Pranvera,Osmani,F
Fjolla,Salihu,F
Elira,Syla,F
Majlinda,Hajdari,F
Astrit,Selimi,M
Spartak,Aliu,M
Drita,Morina,F
Pranvera,Aliu,F
Zef,Hoxha,M
Xhevdet,Hasani,M
Besarta,Demiri,F
Petrit,Dauti,M
Saranda,Salihu,F
Spartak,Maliqi,M
Vlora,Hoxha,F
Xhevdet,Ahmeti,M
Samir,Zeqiri,M
Ymerije,Hajdari,F
Arjeta,Syla,F
Flutura,Berisha,F
Samir,Aliu,M
Xhevahire,Bajrami,F
Erim,Shala,M
Faton,Nuhiu,M
Drilon,Dauti,M
Hana,Salihu,F
Shkurte,Rexhepi,F
Hana,Kabashi,F
Luan,Ademi,M
Kushtrim,Hyseni,M
Qendrim,Ferati,M
Drita,Limani,F
Nderim,Dauti,M
Lulzim,Hajdari,M
Gentiana,Miftari,F
Yll,Hajdari,M
Xheneta,Nuhiu,F
Fjolla,Berisha,F
Saranda,Kryeziu,F
Vjollca,Salihu,F
Ilir,Hasani,M
Veton,Shala,M
Valon,Kabashi,M
Luljeta,Kastrati,F
Lavdim,Likaj,M
Blerina,Gashi,F
Xhevdet,Nuhiu,M
Egzon,Abazi,M
Fisnik,Tahiri,M
Valbona,Osmani,F
Donika,Kabashi,F
Kaltrina,Ibrahimi,F
Valon,Tahiri,M
Visar,Likaj,M
Gentian,Zeqiri,M
Isa,Hasani,M
Fisnik,Sinani,M
Besim,Bajrami,M
Dardan,Rugova,M
Qamile,Nuhiu,F
Fjolla,Salihu,F
Adelina,Rexhepi,F
Rina,Syla,F
Luljeta,Morina,F
Qendresa,Sinani,F
Tringa,Maliqi,F
Urti,Ibrahimi,F
Bashkim,Tahiri,M
Mergim,Kastrati,M
Arjeta,Nuhiu,F
Valon,Zeqiri,M
Gezim,Maliqi,M
Pajtime,Gashi,F
Donika,Kryeziu,F
Drita,Abazi,F
Erim,Maliqi,M
Kaltrina,Mehmeti,F
Yllka,Ibrahimi,F
Endrit,Morina,M
Blerim,Kastrati,M
Yll,Ademi,M
Fitore,Morina,F
Shkurte,Syla,F
Ymerije,Ademi,F
Blerta,Krasniqi,F
Parin,Rugova,M
Kujtim,Ferati,M
Dardan,Mehmeti,M
Yll,Tahiri,M
Qamile,Ademi,F
Blerim,Krasniqi,M
Iliriana,Mehmeti,F
Remzije,Thaqi,F
Samir,Syla,M
Rina,Rexhepi,F
Mergim,Mehmeti,M
Valbona,Miftari,F
Hana,Maliqi,F
Shaban,Salihu,M
Skender,Hoxha,M
Bujar,Ahmeti,M
Astrit,Kryeziu,M
Ymerije,Dauti,F
Samir,Ahmeti,M
Zana,Shala,F
Enver,Ibrahimi,M
Besarta,Bytyqi,F
Shaban,Mehmeti,M
Vjollca,Shala,F
Besnik,Miftari,M
Veton,Likaj,M
Adelina,Hajdari,F
Jehona,Maliqi,F
Shqipe,Kastrati,F
Naim,Dauti,M
Drita,Kabashi,F
Qendrim,Abazi,M
Fjolla,Bytyqi,F
Yllka,Sinani,F
Kujtim,Kabashi,M
Pranvera,Limani,F
Zana,Selimi,F
Donika,Kryeziu,F
Xheneta,Gashi,F
Kujtesa,Abazi,F
Vjollca,Osmani,F
Mimoza,Hasani,F
Teuta,Dauti,F
Luljeta,Miftari,F
Ymerije,Demiri,F
Spartak,Rugova,M
Kastriot,Miftari,M
Astrit,Berisha,M
Pranvera,Kryeziu,F
Zylfije,Limani,F
Mimoza,Ibrahimi,F
Ganimete,Dauti,F
Ermal,Salihu,M
Petrit,Miftari,M
Majlinda,Shala,F
Rina,Hyseni,F
Burbuqe,Mehmeti,F
Isa,Kryeziu,M
Zef,Dauti,M
Rina,Limani,F
Qendrim,Dauti,M
Jeta,Sinani,F
Parin,Osmani,M
Fisnik,Dauti,M
Dafina,Mehmeti,F
Hana,Kabashi,F
Besim,Miftari,M
Majlinda,Zeqiri,F
Edona,Maliqi,F
Yllka,Ibrahimi,F
Shqipe,Ahmeti,F
Liridon,Salihu,M
Perparim,Aliu,M
Petrit,Rexhepi,M
Rina,Gashi,F
Besarta,Gashi,F
Orhidea,Berisha,F
Egzona,Morina,F
Luljeta,Shala,F
Gentian,Selimi,M
Zef,Rugova,M
Isa,Krasniqi,M
Bujar,Hoxha,M
Perparim,Kryeziu,M
Remzije,Salihu,F
Majlinda,Osmani,F
Qamil,Ferati,M
